Sock Offset	Family	Type	Proto	Source Addr	Source Port	Destination Addr	Destination Port	State	Filter
0x105690800	AF_UNIX	STREAM	-	-	16632	/run/dbus/system_bus_socket	16633	ESTABLISHED	-
0x105690c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	18305		23780	ESTABLISHED	-
0x105691000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	22590	-	23571	ESTABLISHED	-
0x105691400	AF_UNIX	STREAM	-	/run/user/0/systemd/private	23779	-	-	LISTEN	-
0x105691800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16658	-	16657	ESTABLISHED	-
0x105691c00	AF_UNIX	DGRAM	-	-	23599	-	23600	CONNECTED	-
0x105692000	AF_UNIX	STREAM	-		23780	/run/dbus/system_bus_socket	18305	ESTABLISHED	-
0x105692800	AF_UNIX	STREAM	-	-	23571	/run/systemd/journal/stdout	22590	ESTABLISHED	-
0x105692c00	AF_UNIX	STREAM	-	-	16446	-	16445	ESTABLISHED	-
0x105693000	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16633	-	16632	ESTABLISHED	-
0x105693400	AF_UNIX	STREAM	-	-	16657	/run/systemd/journal/stdout	16658	ESTABLISHED	-
0x105693800	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent.browser	23790	-	-	LISTEN	-
0x1056a0000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2706	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x1056e0000	AF_UNIX	STREAM	-	-	18256	-	0	ESTABLISHED	-
0x1056e0400	AF_UNIX	STREAM	-	-	15606	/run/dbus/system_bus_socket	16527	ESTABLISHED	-
0x1056e0800	AF_UNIX	STREAM	-	-	15731	/run/dbus/system_bus_socket	15082	ESTABLISHED	-
0x1056e0c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16659	-	15675	ESTABLISHED	-
0x1056e1000	AF_UNIX	STREAM	-	-	18227	-	18226	ESTABLISHED	-
0x1056e1400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16527	-	15606	ESTABLISHED	-
0x1056e1800	AF_UNIX	STREAM	-	/run/user/0/snapd-session-agent.socket	18312	-	-	LISTEN	-
0x1056e1c00	AF_UNIX	STREAM	-	-	15675	/run/systemd/journal/stdout	16659	ESTABLISHED	-
0x1056e2800	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x1056e2c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	15082	-	15731	ESTABLISHED	-
0x1056e3800	AF_UNIX	STREAM	-	-	18226	-	18227	ESTABLISHED	-
0x1056e3c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16524		15583	ESTABLISHED	-Progress:   54.58		Scanning memory_layer using MultiStringScanner
0x106348800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	666	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106349800	AF_NETLINK	RAW	NETLINK_GENERIC	groups:0x00240000	666	group:0x00000000	0	UNCONNECTED	-
0x10634c000	AF_PACKET	RAW	0x88cc	ens33	-	-	-	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106838000	AF_UNIX	STREAM	-	-	14968	/run/systemd/journal/stdout	15551	ESTABLISHED	-
0x106838400	AF_UNIX	STREAM	-	-	15165	-	15166	ESTABLISHED	-
0x106838800	AF_UNIX	STREAM	-	+	0	-	-	CLOSE	-
0x106838c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	0	-	-	CLOSE	-
0x106839000	AF_UNIX	STREAM	-	-	15031	/run/systemd/journal/stdout	15613	ESTABLISHED	-
0x106839400	AF_UNIX	STREAM	-	-	18447	/run/systemd/journal/stdout	16875	ESTABLISHED	-
0x106839800	AF_UNIX	STREAM	-	-	15166	-	15165	ESTABLISHED	-
0x106839c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	16875	-	18447	ESTABLISHED	-
0x10683a000	AF_UNIX	STREAM	-	/run/user/0/pk-debconf-socket	18310	-	-	LISTEN	-
0x10683a400	AF_UNIX	STREAM	-		14978	/run/dbus/system_bus_socket	16513	ESTABLISHED	-
0x10683a800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15613	-	15031	ESTABLISHED	-
0x10683ac00	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent	18306	-	-	LISTEN	-
0x10683b000	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.keyboxd	18308	-	-	LISTEN	-
0x10683b400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16513		14978	ESTABLISHED	-
0x10683b800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15551	-	14968	ESTABLISHED	-
0x106890400	AF_UNIX	STREAM	-	-	13748	/run/systemd/journal/stdout	15489	ESTABLISHED	-
0x106890800	AF_UNIX	DGRAM	-	-	13755	-	13756	CONNECTED	-
0x106890c00	AF_UNIX	STREAM	-		13785	-	-	LISTEN	-
0x106891000	AF_UNIX	DGRAM	-	-	13754	-	13753	CONNECTED	-
0x106891400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10796	-	13581	ESTABLISHED	-
0x106891800	AF_UNIX	STREAM	-		13783	/run/dbus/system_bus_socket	16450	ESTABLISHED	-
0x106891c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16450		13783	ESTABLISHED	-
0x106892000	AF_UNIX	DGRAM	-	-	13753	-	13754	CONNECTED	-
0x106892400	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	13781	-	-	LISTEN	-
0x106892c00	AF_UNIX	STREAM	-	-	13581	/run/systemd/journal/stdout	10796	ESTABLISHED	-
0x106893000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15489	-	13748	ESTABLISHED	-
0x106893400	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.gpg-agent.ssh	18318	-	-	LISTEN	-
0x106893c00	AF_UNIX	DGRAM	-	-	13756	-	13755	CONNECTED	-
0x106cd8000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3304035431	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cda000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	880	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cda800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1063	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cdc800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	891	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cde800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3789713101	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106cdf000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	3562445331	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x106f34800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	507	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPFProgress:   54.79		Scanning memory_layer using MultiStringScanner
0x107255340	AF_INET	STREAM	TCP	0.0.0.0	22	0.0.0.0	0	LISTEN	-
0x107468000	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x107468400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	0	-	-	CLOSE	-
0x107468c00	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x107469400	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x107469800	AF_UNIX	STREAM	-	/run/user/0/systemd/pr	0	-	-	CLOSE	-
0x107469c00	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	0	-	-	CLOSE	-
0x10746a000	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x10746a800	AF_UNIX	STREAM	-	/run/user/0/systemd/private	0	-	-	CLOSE	-
0x10746ac00	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x10746b000	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x10746b400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	0	-	-	CLOSE	-
0x10746bc00	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-Progress:   55.00		Scanning memory_layer using MultiStringScanner
0x108d2ae40	AF_INET	STREAM	TCP	192.168.200.177	48454	192.168.200.164	8081	ESTABLISHED	-
0x108d2dc80	AF_INET	STREAM	TCP	192.168.200.177	48444	192.168.200.164	8081	ESTABLISHED	-
0x108d2ef00	AF_INET	STREAM	TCP	192.168.200.177	48440	192.168.200.164	8081	ESTABLISHED	-Progress:   55.21		Scanning memory_layer using MultiStringScanner
0x109421800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2803	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x109c1c400	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S2	0	-	-	CLOSE	-
0x109c1c800	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c1cc00	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c1d000	AF_UNIX	STREAM	-	/run/ud	0	-	-	CLOSE	-
0x109c1d400	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c1d800	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c1dc00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	0	-	-	CLOSE	-
0x109c1e000	AF_UNIX	STREAM	-	+	0	-	-	CLOSE	-
0x109c1e800	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S	0	-	-	CLOSE	-
0x109c1ec00	AF_UNIX	STREAM	-	/run/user/0/gnupg/S.ker>	0	-	-	CLOSE	-
0x109c1f400	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c1fc00	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c20000	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c20800	AF_UNIX	STREAM	-	/run/user/0/systemd/private	0	-	-	CLOSE	-
0x109c20c00	AF_UNIX	STREAM	-	/run/user/0/systemd/pr	0	-	-	CLOSE	-
0x109c21000	AF_UNIX	STREAM	-	/run/user/1000/systemd/private	0	-	-	CLOSE	-
0x109c21c00	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c22000	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c22400	AF_UNIX	STREAM	-		0	-	-	CLOSE	-
0x109c22800	AF_UNIX	STREAM	-	/run/user/0/systemd/private	0	-	-	CLOSE	-
0x109c23000	AF_UNIX	STREAM	-	-	0	-	-	CLOSE	-
0x109c23400	AF_UNIX	STREAM	-	-	22568	-	0	ESTABLISHED	-Progress:   55.42		Scanning memory_layer using MultiStringScanner
0x10a558000	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	11712	-	12780	ESTABLISHED	-
0x10a558800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	15545	-	15543	ESTABLISHED	-
0x10a558c00	AF_UNIX	STREAM	-		15500	/run/dbus/system_bus_socket	16448	ESTABLISHED	-
0x10a559000	AF_UNIX	STREAM	-	/run/systemd/resolve/io.systemd.Resolve	13256	-	-	LISTEN	-
0x10a559400	AF_UNIX	STREAM	-		15583	/run/dbus/system_bus_socket	16524	ESTABLISHED	-
0x10a559800	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	10893	-	13091	ESTABLISHED	-
0x10a559c00	AF_UNIX	STREAM	-	/run/dbus/system_bus_socket	16448		15500	ESTABLISHED	-
0x10a55a400	AF_UNIX	DGRAM	-	-	12790	-	12791	CONNECTED	-
0x10a55a800	AF_UNIX	STREAM	-	/run/systemd/resolve/io.systemd.Resolve.Monitor	13257	-	-	LISTEN	-
0x10a55ac00	AF_UNIX	STREAM	-	-	15543	/run/systemd/journal/stdout	15545	ESTABLISHED	-
0x10a55b000	AF_UNIX	STREAM	-	-	12780	/run/systemd/journal/stdout	11712	ESTABLISHED	-
0x10a55b400	AF_UNIX	DGRAM	-	-	12791	-	12790	CONNECTED	-
0x10a55bc00	AF_UNIX	STREAM	-	-	13091	/run/systemd/journal/stdout	10893	ESTABLISHED	-
0x10a73e5c0	AF_INET	STREAM	TCP	192.168.200.177	44600	151.101.130.49	443	CLOSE	-Progress:   55.63		Scanning memory_layer using MultiStringScanner
0x10b1cc000	AF_UNIX	STREAM	-	/run/systemd/userdb/io.systemd.DynamicUser	3987	-	-	LISTEN	-
0x10b1cc400	AF_UNIX	STREAM	-	/run/systemd/journal/stdout	4013	-	-	LISTEN	-
0x10b1cc800	AF_UNIX	DGRAM	-	-	3984	-	3983	CONNECTED	-
0x10b1ccc00	AF_UNIX	DGRAM	-	/run/systemd/journal/syslog	4005	-	-	UNCONNECTED	-
0x10b1cd000	AF_UNIX	DGRAM	-	/run/systemd/journal/dev-log	4009	-	-	UNCONNECTED	-
0x10b1cd400	AF_UNIX	DGRAM	-	/run/systemd/notify	3982	-	-	UNCONNECTED	-
0x10b1cd800	AF_UNIX	STREAM	-	-	16445	-	16446	ESTABLISHED	-
0x10b1cdc00	AF_UNIX	STREAM	-	/run/systemd/fsck.progress	4007	-	-	LISTEN	-
0x10b1ce000	AF_UNIX	SEQPACKET	-	/run/udev/control	4017	-	-	UNCONNECTED	-
0x10b1ce400	AF_UNIX	STREAM	-	/run/lvm/lvmpolld.socket	4002	-	-	LISTEN	-
0x10b1ce800	AF_UNIX	DGRAM	-	/run/systemd/journal/socket	4011	-	-	UNCONNECTED	-
0x10b1cec00	AF_UNIX	DGRAM	-	-	3983	-	3984	CONNECTED	-
0x10b1cf000	AF_UNIX	STREAM	-	/run/systemd/private	3985	-	-	LISTEN	-
0x10b1cf400	AF_UNIX	STREAM	-		4004	-	-	LISTEN	-
0x10b1cf800	AF_UNIX	STREAM	-	/run/systemd/io.systemd.ManagedOOM	3988	-	-	LISTEN	-
0x10b91d800	AF_NETLINK	RAW	NETLINK_ROUTE	groups:0x00000111	695	group:0x00000000	0	UNCONNECTED	-Progress:   55.83		Scanning memory_layer using MultiStringScannerProgress:   56.04		Scanning memory_layer using MultiStringScanner
0x10d3c3000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000001	3612740249	group:0x00000000	0	UNCONNECTED	-
0x10d3c5000	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	1750	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPF
0x10d3c5800	AF_NETLINK	RAW	NETLINK_KOBJECT_UEVENT	groups:0x00000002	2797170666	group:0x00000000	0	UNCONNECTED	filter_type=socket_filter,bpf_filter_type=cBPFProgress:   56.25		Scanning memory_layer using MultiStringScannerProgress:   56.46		Scanning memory_layer using MultiStringScannerProgress:   56.67		Scanning memory_layer using MultiStringScannerProgress:   56.88		Scanning memory_layer using MultiStringScannerProgress:   57.08		Scanning memory_layer using MultiStringScannerProgress:   57.29		Scanning memory_layer using MultiStringScannerProgress:   57.50		Scanning memory_layer using MultiStringScannerProgress:   57.71		Scanning memory_layer using MultiStringScannerProgress:   57.92		Scanning memory_layer using MultiStringScannerProgress:   58.13		Scanning memory_layer using MultiStringScannerProgress:   58.33		Scanning memory_layer using MultiStringScannerProgress:   58.54		Scanning memory_layer using MultiStringScannerProgress:   58.75		Scanning memory_layer using MultiStringScannerProgress:   58.96		Scanning memory_layer using MultiStringScannerProgress:   59.17		Scanning memory_layer using MultiStringScannerProgress:   59.38		Scanning memory_layer using MultiStringScannerProgress:   59.58		Scanning memory_layer using MultiStringScannerProgress:   59.79		Scanning memory_layer using MultiStringScannerProgress:   60.00		Scanning memory_layer using MultiStringScannerProgress:   60.21		Scanning memory_layer using MultiStringScannerProgress:   60.42		Scanning memory_layer using MultiStringScannerProgress:   60.63		Scanning memory_layer using MultiStringScannerProgress:   60.83		Scanning memory_layer using MultiStringScannerProgress:   61.04		Scanning memory_layer using MultiStringScannerProgress:   61.25		Scanning memory_layer using MultiStringScannerProgress:   61.46		Scanning memory_layer using MultiStringScannerProgress:   61.67		Scanning memory_layer using MultiStringScanner
0x128418000	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent	23616	-	-	LISTEN	-
0x128418400	AF_UNIX	DGRAM	-	-	23778	-	23777	CONNECTED	-
0x128418800	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.browser	23612	-	-	LISTEN	-
0x128418c00	AF_UNIX	STREAM	-	/run/user/1000/gnupg/S.gpg-agent.ssh	23633	-	-	LISTEN	-
0x128419000	AF_UNIX	DGRAM	-	/run/user/0/systemd/notify	23776	-	-	UNCONNECTED	-
